source(TEXT),text(VARCHAR),created_at(TEXT),retweet_count(INT4),favorite_count(TEXT),is_retweet(BOOL),id_str(TEXT)
Twitter Web Client,There's a lot going on at the Eric Trump Foundation ...  http://bit.ly/9rJ0sn,09-07-2010 18:07:27,21,8,false,23259108430
Twitter Web Client,I was invited by Caroline Wozniacki to sit with her family in her special box during her match at the U.S. Open yesterday. She's fantastic!,09-07-2010 16:06:32,11,6,false,23249994601
Twitter Web Client,Check out Trump International Hotel & Tower New York --spectacular! http://www.trump.com/Hotel_Collection/Trump_New_york/Trump_New_York.asp,09-02-2010 16:37:23,21,10,false,22812888292
Twitter Web Client,Check out Serta's Counting Sheep (and me) at the Trump International Hotel New York http://bit.ly/SertaRm9,09-02-2010 16:27:17,16,1,false,22812121662
Twitter Web Client,I'll be on The Late Show with David Letterman tonight--be sure to tune in for a great show. 11:30 pm on CBS.,09-01-2010 21:38:38,46,5,false,22742724001
Twitter Web Client,Went to the Yankees game last night with Bill O'Reilly--we had a great time watching the Yankees win!,08-31-2010 20:00:03,44,26,false,22644749933
Twitter Web Client,Spent a beautiful weekend golfing at Trump National Golf Club Westchester and Trump National Golf Club Bedminster.,08-30-2010 19:50:43,17,8,false,22551244200
Twitter Web Client,The Miss Universe Pageant raked in some great ratings!  A great job by everyone.,08-26-2010 20:42:57,39,12,false,22207798183
Twitter Web Client,Congratulations to Miss Mexico Jimena Navarrete our new Miss Universe 2010 and congratulations to everyone for a fantastic show.,08-24-2010 14:07:12,193,32,false,22003109005
Twitter Web Client,It's going to get hotter in Las Vegas tonight! Watch the Miss Universe Pageant tonight on NBC at 9 p.m. I'm looking forward to being there!,08-23-2010 13:55:10,50,4,false,21915730688
Twitter Web Client,Four more days until the Miss Universe Pageant. Be sure to tune in on Monday night at 9 p.m. on NBC--it will be an amazing show.,08-19-2010 19:15:36,43,5,false,21601308367
Twitter Web Client,The original Apprentice returns with a two hour premiere on Thursday September 16th. Looking forward to a fantastic season!,08-19-2010 18:35:42,56,9,false,21598934653
